Date,High,Low,Close,VolumeT,Volume
2016-12-23,9.9,9.7,9.8,7,641
2016-12-28,9.5,9.5,9.8,1,59
2016-12-30,9.7,8.6,9.7,4,2460
2017-01-02,9.8,9.4,9.7,5,9390
2017-01-03,9.7,9.7,9.7,1,2
2017-01-04,9.9,9.7,9.7,3,1100
2017-01-05,9.7,9.7,9.7,2,5200
2017-01-09,9.7,9.7,9.7,2,500
2017-01-10,9.7,9.7,9.7,6,4477
2017-01-11,9.9,9.7,9.8,4,700
2017-01-16,9.9,9.7,9.7,2,522
2017-01-19,9.9,9.9,9.7,1,5
2017-01-23,9.8,9.8,9.8,1,1000
2017-01-27,9.2,9.2,9.8,1,33
2017-01-30,9.4,9.4,9.4,2,200
2017-01-31,9.5,9.5,9.5,2,200
2017-02-02,9.4,9.4,9.4,2,600
2017-02-03,9.2,9.2,9.4,1,1
2017-02-06,9.4,8.7,8.9,11,2351
2017-02-07,9,9,9,1,100
2017-02-09,9,8.8,8.8,2,400
2017-02-13,8.9,8.9,8.8,2,10
2017-02-15,9,8.7,8.7,8,3607
2017-02-16,9,8.6,8.6,7,13800
2017-02-21,9,9,9,1,100
2017-02-23,9,8.8,9,7,9301701
2017-02-27,8.6,8.6,8.6,1,131
2017-02-28,8.9,8.5,8.6,8,1637
2017-03-01,8.5,8,8.1,5,6167
2017-03-02,8.2,8,8,4,1700
2017-03-03,8,7.8,8,4,63
2017-03-06,7.8,7.8,7.8,2,400
2017-03-08,7.8,7.8,7.8,2,301
2017-03-09,7.8,7.7,7.8,5,1520
2017-03-10,7.8,7.7,7.7,5,1870
2017-03-13,7.9,7.7,7.8,4,2600
2017-03-14,7.8,7.8,7.8,1,1100
2017-03-15,7.8,7.7,7.7,4,4100
2017-03-16,7.8,7.7,7.7,3,4550
2017-03-17,8,7.7,7.8,5,1569
2017-03-22,8,7.7,8,6,4488
2017-03-23,8.4,7.6,8.4,4,200
2017-03-24,8,7.9,7.9,7,4901
2017-03-27,8.4,8,8.4,4,11051
2017-03-28,8.4,8.4,8.4,1,1
2017-03-30,8.4,7.9,8,8,1606
2017-03-31,7.9,7.9,7.9,1,100
2017-04-03,8.3,8.1,8.1,5,3170
2017-04-04,8.1,8.1,8.1,5,2429
2017-04-05,8.3,8.3,8.3,3,125
2017-04-06,8.4,8,8.3,7,1065
2017-04-07,9,8.4,8.8,8,5493
2017-04-11,8.8,8.5,8.8,3,8855
2017-04-12,8.8,8.8,8.8,3,1011
2017-04-17,8.7,8.6,8.6,3,1020
2017-04-18,8.6,8.6,8.6,1,580
2017-04-19,9.3,8.7,8.8,5,11287
2017-04-21,9.1,9,9.1,8,6040
2017-04-24,9.2,9,9.1,15,5313
2017-04-25,10,9.2,9.5,31,30272
2017-04-26,9.9,9.2,9.8,6,716
2017-04-27,9.8,9.8,9.8,9,8011
2017-04-28,9.8,9.2,9.8,12,3583
2017-05-02,9.9,9.8,9.8,5,1221
2017-05-03,10,9.8,10,11,20083
2017-05-04,10.2,10,10.1,7,8803
2017-05-05,10.1,10,10.1,2,4175
2017-05-08,11.1,10.1,10.9,47,305690
2017-05-09,11.7,11.1,11.5,35,17870
2017-05-12,12,11.1,11.7,49,136659
2017-05-15,13.2,12,13.1,73,121911
2017-05-16,13.5,13.1,13.2,78,159336
2017-05-17,13.5,13.3,13.4,31,35836
2017-05-18,13.5,13,13.2,20,9961
2017-05-19,13.4,13.3,13.4,15,3765
2017-05-22,13.4,13,13,9,3400
2017-05-23,13.2,13,13.2,12,7874
2017-05-24,13,13,13,2,2000
2017-05-25,14.2,13.2,14,116,271034
2017-05-26,14.5,14,14,34,41546
2017-05-29,14.4,13.5,13.6,8,10032
2017-05-30,14,13.5,13.5,11,2180
2017-05-31,13.9,13.5,13.5,9,8200
2017-06-01,13.5,13.1,13.5,13,12150
2017-06-02,13.6,13.3,13.4,12,12279
2017-06-05,13.5,13.3,13.5,5,4151
2017-06-06,13.8,13.3,13.6,8,3191
2017-06-07,13.6,13.5,13.5,6,43138
2017-06-09,13.6,13.6,13.6,1,9762
2017-06-12,13.7,13.2,13.2,14,65498
2017-06-13,13.4,13.1,13.1,7,3392
2017-06-14,13.2,13.2,13.2,1,5000
2017-06-15,13.2,13,13.2,12,19010
2017-06-16,13.2,12.9,12.9,7,5400
2017-06-19,13.1,12.6,12.6,10,13570
2017-06-20,12.6,12.6,12.6,4,710
2017-06-21,13,12.5,13,14,113759
2017-06-22,13.8,13.2,13.4,14,40505
2017-06-23,13.9,13.4,13.5,7,9010
2017-06-28,13.7,13.5,13.7,10,52210
2017-06-29,13.6,13.4,13.6,5,28765
2017-06-30,14,13.5,13.9,39,84852
2017-07-03,14.5,13.8,13.8,10,14003
2017-07-04,14.1,13.7,14.1,5,3062
2017-07-05,14.5,14,14.4,52,115312
2017-07-06,14.9,14.6,14.7,53,68637
2017-07-07,15,14,14.7,40,65392
2017-07-10,14.9,14.5,14.8,19,36416
2017-07-11,14.8,14.3,14.7,32,125472
2017-07-12,15.5,14.8,15.2,47,63519
2017-07-13,15.9,15.4,15.7,144,188833
2017-07-14,15.8,15.2,15.2,29,47984
2017-07-17,15.2,15,15.1,7,3225
2017-07-18,15.3,14.7,14.8,10,17805
2017-07-19,15.3,14.8,15.3,31,28809
2017-07-20,15.4,14.8,14.9,9,5361
2017-07-21,15.5,14.8,14.8,9,5900
2017-07-24,15.9,15.3,15.7,55,42221
2017-07-25,15.9,15.5,15.6,38,65201
2017-07-26,15.9,15.5,15.6,34,54893
2017-07-27,15.8,15.1,15.1,9,9626
2017-07-28,15.9,15.4,15.4,18,67824
2017-07-31,15.4,15.1,15.1,26,49100
2017-08-01,15,14.9,14.9,12,29000
2017-08-02,14.9,14.5,14.8,7,2712
2017-08-03,14.8,14.8,14.8,3,2102
2017-08-04,14.8,14.5,14.5,3,213
2017-08-09,15.7,14.3,14.5,5,941
2017-08-10,15,14.5,14.5,2,70
2017-08-11,15.8,14.8,15.6,92,144405
2017-08-14,15.6,15.1,15.1,16,23528
2017-08-15,15.2,15,15.1,3,1500
2017-08-16,14.9,14,14.6,17,3001
2017-08-17,15,14.3,14.8,7,1077
2017-08-18,14.3,14.3,14.8,1,78
2017-08-21,14.3,14.1,14.1,4,1923
2017-08-22,14.2,14.2,14.1,1,1
2017-08-23,14.3,13.9,14,11,24050
2017-08-24,14.7,14,14.5,7,7909
2017-08-25,14.8,14.2,14.8,8,1184
2017-08-28,15,14.8,14.9,42,71731
2017-08-29,14.8,14.2,14.3,7,20010
