,Date,High,Low,Close,Volume,VolumeT,Gaus
109,2015-06-30,22.0,21.2,21.4,10,5120,21.126150858469646
110,2015-07-02,21.2,20.1,20.1,4,260,21.03078845466075
111,2015-07-03,20.5,20.2,20.2,16,11132,20.945817408223487
112,2015-07-06,20.5,20.0,20.3,9,616,20.878457942474096
113,2015-07-07,20.4,20.4,20.4,2,501,20.834584513644696
114,2015-07-08,21.5,20.1,21.0,14,7340,20.818940093849783
115,2015-07-09,20.4,20.4,20.4,2,501,20.835312191305444
116,2015-07-10,21.0,21.0,21.0,9,2490,20.88692012832245
117,2015-07-13,21.0,20.0,20.0,13,34001,20.97647936492419
118,2015-07-14,20.6,20.5,20.6,4,1600,21.106013069538818
119,2015-07-15,21.0,20.4,21.0,8,5010,21.27647379358591
120,2015-07-16,21.5,20.2,21.0,19,11475,21.487023210242047
121,2015-07-17,21.4,20.5,21.0,6,10250,21.734448731467065
122,2015-07-20,21.4,20.5,20.5,5,24114,22.012663074497528
123,2015-07-21,21.5,21.0,21.4,6,2000,22.31274886932953
124,2015-07-22,21.6,21.2,21.5,14,18854,22.623428966088227
125,2015-07-23,25.5,21.4,24.7,138,263906,22.93215382052417
126,2015-07-24,25.5,23.6,25.0,85,871337,23.22652426677982
127,2015-07-27,24.8,24.1,24.5,15,6061,23.495628640589064
128,2015-07-28,24.5,23.0,24.5,5,64,23.73135535642911
129,2015-07-29,24.5,23.8,23.9,17,20398,23.929093014287847
130,2015-07-30,24.9,23.8,24.8,19,14247,24.08784929437463
131,2015-08-03,25.0,24.0,25.0,37,341919,24.209822180907597
132,2015-08-04,24.5,24.1,24.2,15,2001,24.299705186445685
133,2015-08-05,25.1,24.0,24.8,60,72612,24.363615804127008
134,2015-08-06,24.9,24.2,24.2,12,3205,24.408100578624953
135,2015-08-07,24.7,23.8,24.0,18,22778,24.439245928213126
136,2015-08-10,25.0,23.5,24.9,50,30138,24.462017403390366
137,2015-08-11,25.0,24.0,24.1,12,3904,24.48006171640505
138,2015-08-12,25.0,24.1,24.9,23,87000,24.495522298276526
139,2015-08-13,24.1,23.6,23.8,9,6011,24.509337696657354
140,2015-08-14,25.0,23.8,24.4,28,15754,24.521548061011064
141,2015-08-17,25.0,24.5,25.0,21,18615,24.531684631569153
142,2015-08-18,25.1,24.1,24.9,17,12962,24.53922637552047
143,2015-08-19,25.0,24.1,24.9,15,38745,24.543818897745545
144,2015-08-20,24.9,24.5,24.5,10,10479,24.545531572875483
145,2015-08-21,25.0,24.2,24.7,13,8026,24.54473805901211
146,2015-08-24,25.0,24.0,24.0,18,17501,24.542192009017334
147,2015-08-25,24.7,23.9,24.0,9,13702,24.538625280508864
148,2015-08-26,25.0,24.0,24.9,26,17666,24.534636141562352
149,2015-08-27,25.1,24.8,25.0,5,3985,24.530637564529513
150,2015-08-28,24.5,24.1,24.5,8,1793,24.52678943900671
151,2015-08-31,25.0,24.0,24.2,9,10175,24.523152540981336
152,2015-09-01,24.1,24.0,24.1,4,425,24.519745827736593
153,2015-09-02,25.2,24.0,25.0,55,203868,24.5166127293227
154,2015-09-03,25.2,24.6,25.0,7,29131,24.51395237185197
155,2015-09-04,24.6,24.5,24.5,5,1450,24.51194606178329
156,2015-09-07,24.6,24.2,24.2,8,3608,24.510690140791283
157,2015-09-08,24.5,24.2,24.2,12,3551,24.510117039865154
158,2015-09-09,24.9,24.9,24.2,1,1,24.509799559380067
159,2015-09-10,25.0,24.5,24.5,12,10262,24.50907013931424
160,2015-09-11,24.7,24.5,24.5,7,4252,24.507037900900286
161,2015-09-14,25.1,24.5,25.0,17,33860,24.50292433014425
162,2015-09-15,25.1,24.5,25.0,6,4600,24.4962639921334
